,coop,disap,disap,def,tit1,tit1,def,coop,tit0,disap,tit0,tit0,disap,tit0,disap,tit1,tit0,coop,def,def,tit1,coop,tit1,tit0,def,coop,tit1,tit1,disap,coop,def,coop,disap,coop,def,def,disap,tit0,tit0,tit1,disap,disap,def,coop,tit0,tit0,tit1,def,def,coop,tit1,def,def,disap,coop,tit0,disap,coop,def,tit0,tit1,disap,disap,disap,disap,tit0,tit0,def,disap,tit0,disap,tit0,disap,tit1,tit1,tit1,tit1,coop,coop,def,tit1,tit0,tit0,tit1,coop,def,tit1,tit1,coop,tit0,def,coop,def,coop,tit1,coop,disap,coop,tit0,def
coop,0,3,3,-3,3,3,-3,3,-3,3,-3,-3,3,-3,3,3,-3,3,-3,-3,3,3,3,-3,-3,3,3,3,3,3,-3,3,3,3,-3,-3,3,-3,-3,3,3,3,-3,3,-3,-3,3,-3,-3,3,3,-3,-3,3,3,-3,3,3,-3,-3,3,3,3,3,3,-3,-3,-3,3,-3,3,-3,3,3,3,3,3,3,3,-3,3,-3,-3,3,3,-3,3,3,3,-3,-3,3,-3,3,3,3,3,3,-3,-3
disap,3,0,3,-3,3,3,-3,3,3,3,3,3,3,3,3,3,3,3,-3,-3,6,6,6,6,0,6,6,6,6,6,0,6,6,6,0,0,6,6,6,6,6,6,0,6,6,6,6,0,0,6,6,0,0,6,6,6,6,6,0,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,0,6,6,6,6,0,6,0,6,6,6,6,6,6,0
disap,6,6,0,0,6,6,0,6,6,6,6,6,6,6,6,6,6,6,0,0,0,6,0,0,0,6,0,0,6,6,0,6,6,6,0,0,6,0,0,0,6,6,0,6,0,0,0,0,0,6,0,0,0,6,6,0,6,6,0,0,0,6,6,6,6,0,0,0,6,0,6,0,6,0,0,0,0,6,6,0,0,0,0,0,6,0,0,0,6,0,0,6,0,6,0,6,6,6,0,0
def,6,6,6,0,0,0,0,6,0,6,0,0,6,0,6,0,0,6,0,0,0,6,0,0,0,6,0,0,6,6,0,6,6,6,0,0,6,0,0,0,6,6,0,6,0,0,0,0,0,6,0,0,0,6,6,0,6,6,0,0,0,6,6,6,6,0,0,0,6,0,6,0,6,0,0,0,0,6,6,0,0,0,0,0,6,0,0,0,6,0,0,6,0,6,0,6,6,6,0,0
tit1,3,-3,0,0,0,0,0,6,-3,0,0,0,0,0,0,0,0,6,-3,0,0,6,-3,0,0,6,-3,0,0,6,-3,6,-3,6,-3,0,0,0,0,0,0,0,0,6,-3,0,0,0,0,6,-3,0,0,0,6,-3,0,6,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,-3,0,0,0,0,6,-3,0,0,6,-3,0,6,-3,6,-3,6,-3,6,-3,0
tit1,3,-3,0,0,6,0,-3,6,3,-3,0,0,0,0,0,0,0,6,-3,0,0,6,3,-3,0,6,3,-3,0,6,-3,6,-3,6,-3,0,0,0,0,0,0,0,0,6,3,-3,0,0,0,6,3,-3,0,0,6,3,-3,6,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,-3,0,0,0,0,6,-3,0,0,6,3,-3,6,-3,6,3,3,-3,6,3,-3
def,6,0,0,0,0,6,0,6,6,0,0,0,0,0,0,0,0,6,0,0,0,6,6,6,0,6,6,6,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,6,6,0,0,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,6,0,0,0,6,6,0,6,0,6,6,6,0,6,6,0
coop,3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,-3,-3,-3,3,-3,-3,-3,3,-3,-3,-3,3,-3,3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,-3,-3,-3,3,-3,-3,-3,3,-3,-3,3,-3,3,-3,3,-3,3,-3,-3
tit0,6,-3,0,0,6,3,-3,6,0,-3,6,3,-3,6,-3,6,3,3,-3,0,6,3,3,3,-3,6,3,3,-3,6,-3,6,-3,6,-3,0,0,6,3,3,-3,0,0,6,3,3,3,-3,0,6,3,-3,0,0,6,3,-3,6,-3,6,3,-3,0,0,0,6,3,-3,0,6,-3,6,-3,6,3,3,3,3,3,-3,6,3,3,3,3,-3,6,3,3,3,-3,6,-3,6,3,3,-3,6,3,-3
disap,6,0,0,0,0,6,0,6,6,0,0,6,0,0,0,0,6,6,0,0,0,6,6,6,0,6,6,6,0,6,0,6,0,6,0,0,0,0,6,6,0,0,0,6,6,6,6,0,0,6,6,0,0,0,6,6,0,6,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,6,6,6,6,6,0,0,6,6,6,6,0,0,6,6,6,0,6,0,6,6,6,0,6,6,0
tit0,6,-3,0,0,0,0,0,6,-3,0,0,0,0,0,0,0,0,6,-3,0,0,6,-3,0,0,6,-3,0,0,6,-3,6,-3,6,-3,0,0,0,0,0,0,0,0,6,-3,0,0,0,0,6,-3,0,0,0,6,-3,0,6,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,-3,0,0,0,0,6,-3,0,0,6,-3,0,6,-3,6,-3,6,-3,6,-3,0
tit0,6,-3,0,0,0,0,0,6,3,-3,6,0,-3,0,0,0,0,6,-3,0,0,6,3,-3,0,6,3,-3,0,6,-3,6,-3,6,-3,0,0,0,0,0,0,0,0,6,3,-3,0,0,0,6,3,-3,0,0,6,3,-3,6,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,-3,0,0,0,0,6,-3,0,0,6,3,-3,6,-3,6,3,3,-3,6,3,-3
disap,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,6,0,0,0,6,6,6,0,6,6,6,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,6,6,0,0,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,6,0,0,0,6,6,0,6,0,6,6,6,0,6,6,0
tit0,6,-3,0,0,0,0,0,6,-3,0,0,0,0,0,0,0,0,6,-3,0,0,6,-3,0,0,6,-3,0,0,6,-3,6,-3,6,-3,0,0,0,0,0,0,0,0,6,-3,0,0,0,0,6,-3,0,0,0,6,-3,0,6,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,-3,0,0,0,0,6,-3,0,0,6,-3,0,6,-3,6,-3,6,-3,6,-3,0
disap,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,6,0,0,0,6,6,0,0,6,6,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,6,0,0,0,6,6,0,6,0,6,6,6,0,6,6,0
tit1,3,-3,0,0,0,0,0,6,-3,0,0,0,0,0,0,0,0,6,-3,0,0,6,-3,0,0,6,-3,0,0,6,-3,6,-3,6,-3,0,0,0,0,0,0,0,0,6,-3,0,0,0,0,6,-3,0,0,0,6,-3,0,6,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,-3,0,0,0,0,6,-3,0,0,6,-3,0,6,-3,6,-3,6,-3,6,-3,0
tit0,6,-3,0,0,0,0,0,6,3,-3,0,0,0,0,0,6,0,3,-3,0,0,6,3,-3,0,6,3,-3,0,6,-3,6,-3,6,-3,0,0,0,0,0,0,0,0,6,3,-3,0,0,0,6,3,-3,0,0,6,3,-3,6,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,-3,0,0,0,0,6,-3,0,0,6,3,-3,6,-3,6,3,3,-3,6,3,-3
coop,3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,3,3,3,-3,3,3,3,-3,3,-3,3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,3,-3,-3,-3,3,3,-3,-3,-3,3,3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,-3,-3,-3,3,-3,-3,-3,3,3,-3,3,-3,3,3,3,-3,3,3,-3
def,6,0,0,0,6,6,0,6,6,0,6,6,0,6,0,6,6,6,0,0,6,6,6,6,0,6,6,6,0,6,0,6,0,6,0,0,0,6,6,6,0,0,0,6,6,6,6,0,0,6,6,0,0,0,6,6,0,6,0,6,6,0,0,0,0,6,6,0,0,6,0,6,0,6,6,6,6,6,6,0,6,6,6,6,6,0,6,6,6,6,0,6,0,6,6,6,0,6,6,0
def,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,6,0,0,0,6,0,0,6,0,6,0,6,0,6,0,0
tit1,3,-3,0,0,0,0,0,6,-3,0,0,0,0,0,0,0,0,6,-3,0,0,6,-3,0,0,6,-3,0,0,6,-3,6,-3,6,-3,0,0,0,0,0,0,0,0,6,-3,0,0,0,0,6,-3,0,0,0,6,-3,0,6,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,-3,0,0,0,0,6,-3,0,0,6,-3,0,6,-3,6,-3,6,-3,6,-3,0
coop,3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,3,-3,-3,3,0,3,-3,-3,3,3,-3,-3,3,-3,3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,-3,-3,3,3,-3,-3,-3,3,3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,-3,-3,-3,3,-3,-3,-3,3,3,-3,3,-3,3,3,3,-3,3,3,-3
