,coop,def,tit1,tit0,coop,def,tit1,tit0,coop,def,tit1,tit0,coop,def,tit1,tit0,coop,def,tit1,tit0,coop,def,tit1,tit0,coop,def,tit1,tit0,coop,def,tit1,tit0,coop,def,tit1,tit0,coop,def,tit1,tit0,coop,def,tit1,tit0,coop,def,tit1,tit0,coop,def,tit1,tit0,coop,def,tit1,tit0,coop,def,tit1,tit0,coop,def,tit1,tit0,coop,def,tit1,tit0,coop,def,tit1,tit0,coop,def,tit1,tit0,coop,def,tit1,tit0,coop,def,tit1,tit0,coop,def,tit1,tit0,coop,def,tit1,tit0,coop,def,tit1,tit0,coop,def,tit1,tit0,
coop,0,4,10,4,0,4,10,4,0,4,10,4,0,4,10,4,0,4,10,4,0,4,10,4,0,4,10,4,0,4,10,4,0,4,10,4,0,4,10,4,0,4,10,4,0,4,10,4,0,4,10,4,0,4,10,4,0,4,10,4,0,4,10,4,0,4,10,4,0,4,10,4,0,4,10,4,0,4,10,4,0,4,10,4,0,4,10,4,0,4,10,4,0,4,10,4,0,4,10,4,450
def,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,450
tit1,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,350
tit0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,250
coop,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,
def,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,
tit1,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,
tit0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,
coop,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,
def,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,
tit1,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,
tit0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,
coop,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,
def,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,
tit1,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,
tit0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,
coop,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,
def,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,
tit1,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,
tit0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,
coop,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,
def,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,
tit1,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,
tit0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,
coop,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,
def,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,
tit1,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,
tit0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,
coop,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,
def,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,
tit1,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,
tit0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,
coop,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,
def,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,
tit1,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,
tit0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,
coop,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,
def,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,
tit1,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,
tit0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,
coop,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,
def,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,
tit1,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,
tit0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,
coop,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,
def,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,6,0,6,6,
tit1,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,10,4,0,0,
tit0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,6,4,0,0,
coop,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,
